model,run_id,question,generated_answer,correctness,completeness,category,difficulty
gpt-4o-mini,019e6902-bf91-7eb1-9ece-5f62625660d8,What is the supplier's maximum liability cap under the contract?,The supplier's maximum liability cap under the contract is the total Fees paid or payable by the Buyer in the twelve (12) months immediately preceding the event giving rise to the claim.,1.0,1.0,risk,easy
gpt-4o-mini,019e6902-bbb2-7e73-b8ff-51f5b2d8d369,Does the contract allow the supplier to subcontract without buyer approval?,"No, the contract does not allow the supplier to subcontract without buyer approval. The supplier must obtain prior written consent from the buyer before subcontracting any part of the services.",1.0,1.0,risk,easy
gpt-4o-mini,019e6902-bb95-7ad1-969f-cb48f0abbf2b,What happens if the supplier fails to meet the SLA uptime target?,"If the supplier fails to meet the SLA uptime target of 99.5%, the Buyer shall receive a service credit equal to 5% of the monthly fee for each full percentage point below the target, up to a maximum credit of 25% of the monthly fee. Credits are the sole remedy for SLA breaches.",1.0,1.0,risk,medium
gpt-4o-mini,019e6902-baf2-7032-b4d8-f3b8590f7488,Is the supplier required to maintain cyber insurance?,"Yes, the supplier is required to maintain cyber liability and data breach insurance with a minimum limit of EUR 5,000,000 per claim.",1.0,1.0,risk,medium
gpt-4o-mini,019e6902-b76b-7c91-8c39-292b42a10fd9,Is the supplier required to comply with anti-bribery laws?,"Yes, the supplier is required to comply with all applicable anti-bribery and anti-corruption laws and regulations, including the UK Bribery Act 2010 and the US Foreign Corrupt Practices Act.",0.0,0.7,compliance,easy
gpt-4o-mini,019e6902-b768-7ad1-b0f1-aedcb64ad582,What audit rights does the buyer have over the supplier?,"The buyer has the right to audit the supplier's books, records, systems, and facilities relevant to the services and the agreement. This right can be exercised on 10 Business Days' written notice and is limited to no more than once per calendar year, unless a material breach is reasonably suspected. The supplier is required to provide reasonable cooperation and access for the audit.",1.0,1.0,compliance,medium
gpt-4o-mini,019e6902-b5cd-79d1-8083-f50b91fed52b,Is the supplier obligated to report ethical violations in its supply chain?,"Yes, the supplier is obligated to report ethical violations in its supply chain. They must conduct reasonable due diligence on their sub-suppliers and promptly notify the Buyer of any identified or suspected violations of human rights, forced labour, child labour, or environmental regulations within five (5) Business Days of becoming aware of the violation.",1.0,1.0,compliance,medium
gpt-4o-mini,019e6902-b327-76f1-a1b9-6734bd861a8c,What is the notice period required for contract termination for convenience?,The notice period required for contract termination for convenience is not less than ninety (90) days.,1.0,0.7,compliance,easy
gpt-4o-mini,019e6902-b30c-75f3-8cf7-07d78af9423d,Is the supplier acting as a data processor or data controller under GDPR?,The supplier is acting as a data processor under GDPR.,0.0,0.4,data-privacy,easy
gpt-4o-mini,019e6902-af4d-7683-8a24-67f7247a4a6a,Where is the supplier allowed to store and process personal data?,"The supplier is allowed to store and process personal data exclusively within the European Economic Area (EEA), unless prior written consent is provided by the Buyer for transfer to a third country.",1.0,0.7,data-privacy,medium
gpt-4o-mini,019e6902-ae7a-75d1-88c8-9bdc55539282,How long can the supplier retain personal data after contract termination?,"The supplier can retain personal data for a further period only if required to do so by applicable law, and must inform the Buyer of such legal requirement prior to retention. The context does not specify a maximum duration for this retention.",0.0,0.4,data-privacy,medium
gpt-4o-mini,019e6902-ac14-7f02-bafc-3fd922b1db7a,What must the supplier do if it experiences a personal data breach?,"If the supplier experiences a personal data breach, it must notify the Buyer without undue delay and, where feasible, no later than twenty-four (24) hours after becoming aware of the breach. The notification must include the nature of the breach, categories and approximate number of data subjects affected, likely consequences, and measures taken or proposed.",1.0,1.0,data-privacy,hard
gpt-4o-mini,019e6902-ab4d-76f2-9ea5-c95c8472f6e6,Can the supplier appoint sub-processors without the buyer's knowledge?,"No, the supplier cannot appoint sub-processors without the buyer's knowledge. The supplier is required to provide the buyer with at least 14 days' prior written notice before engaging any new sub-processor.",1.0,0.7,data-privacy,hard
gpt-4o-mini,019e6902-a7d8-7f30-8004-c25a9be0a4c9,What is the contract's governing law and jurisdiction?,"The contract's governing law is the laws of England and Wales, and the exclusive jurisdiction is that of the courts of England and Wales.",1.0,1.0,contractual,easy
gpt-4o-mini,019e6902-a7ce-7e22-b4bd-f6ff2ceb5ef6,Does the contract include an automatic renewal clause?,"Yes, the contract includes an automatic renewal clause. It states that the Agreement shall automatically renew for successive one-year periods unless either party provides written notice of non-renewal at least sixty (60) days before the end of the current Term.",1.0,1.0,contractual,medium
gpt-4o-mini,019e6902-a233-75f2-8ed5-e663a5391ecf,Can the supplier unilaterally change the pricing during the contract term?,"No, the supplier cannot unilaterally change the pricing during the contract term. Any increase in fees is only permitted at the start of each renewal term and requires prior written notice of at least 90 days.",1.0,1.0,contractual,hard
gpt-4o-mini,019e6902-a1bd-76d3-b8a3-0445adde7bda,What intellectual property does the buyer own from work produced under the contract?,"The Buyer owns all deliverables, reports, software, and other materials created specifically for the Buyer under the Agreement, referred to as 'Buyer Works.' These are considered works made for hire and become the exclusive property of the Buyer upon creation.",1.0,1.0,contractual,medium
gpt-4o-mini,019e6902-9b44-7ce2-bbaf-b76b4dcd01a1,Is the buyer allowed to withhold payment for disputed invoices?,"Yes, the buyer is allowed to withhold payment for disputed invoices, provided they meet the specified conditions outlined in Section 6.3.",1.0,0.7,financial,medium
gpt-4o-mini,019e6902-9b44-7de2-8972-1764d5edd4a3,What are the payment terms under the contract?,"The payment terms under the contract are as follows: the supplier shall issue invoices monthly in arrears, and the buyer shall pay each undisputed invoice within thirty (30) days of receipt. Late payments will accrue interest at a rate of 2% above the Bank of England base rate per annum, calculated daily from the due date until actual payment.",1.0,1.0,financial,easy
gpt-4o-mini,019e6902-9b43-7833-b91e-c2a0dd880908,Does the contract include a most-favoured-nation (MFN) pricing clause?,"Yes, the contract includes a most-favoured-nation (MFN) pricing clause, as indicated in Section 6.5, which states that the fees charged to the Buyer must not be greater than those charged to any other customer for substantially similar services and volumes.",1.0,0.7,financial,hard
gpt-4o,019e6903-4476-7180-b435-7dbef62bc8af,What is the supplier's maximum liability cap under the contract?,The supplier's maximum liability cap under the contract is limited to the total fees paid or payable by the buyer in the twelve (12) months immediately preceding the event giving rise to the claim.,1.0,1.0,risk,easy
gpt-4o,019e6903-42da-77d2-b14e-156ba9ecdda6,Does the contract allow the supplier to subcontract without buyer approval?,"No, the contract does not allow the supplier to subcontract without the prior written consent of the buyer.",1.0,1.0,risk,easy
